"Vascular.disorders"	"Cardiac.disorder.signs.and.symptoms"	"Cardiac.arrhythmias"	"Heart.failures"	"Coronary.artery.disorders"	"Pericardial.disorders"	"Myocardial.disorders"	"id"
"279"	0	1	0	0	1	0	0	"BRD-A61793559"
"280"	0	1	0	0	1	0	0	"BRD-A61793559"
"281"	0	1	0	0	1	0	0	"BRD-A61793559"
"282"	0	1	0	0	1	0	0	"BRD-A61793559"
"283"	0	1	1	0	1	0	0	"BRD-A64092382"
"284"	0	1	1	0	1	0	0	"BRD-A64092382"
"292"	0	0	0	0	0	0	0	"BRD-A65280694"
"293"	0	0	0	0	0	0	0	"BRD-A65280694"
"294"	0	0	0	0	0	0	0	"BRD-A65280694"
"295"	0	0	0	0	0	0	0	"BRD-A65280694"
"296"	0	1	1	0	0	0	0	"BRD-A65671304"
"297"	0	1	1	0	0	0	0	"BRD-A65671304"
"298"	0	0	0	0	0	0	0	"BRD-A68723818"
"299"	0	0	0	0	0	0	0	"BRD-A68723818"
"300"	0	1	1	0	1	0	0	"BRD-A68888262"
"301"	0	1	1	0	1	0	0	"BRD-A68888262"
"302"	0	1	1	0	1	0	0	"BRD-A68888262"
"303"	0	1	1	0	1	0	0	"BRD-A68888262"
"304"	0	1	0	0	0	0	0	"BRD-A72988804"
"305"	0	1	0	0	1	0	0	"BRD-A73368467"
"306"	0	1	0	0	1	0	0	"BRD-A73368467"
"319"	0	0	0	0	0	0	0	"BRD-A75726477"
"320"	0	0	0	0	0	0	0	"BRD-A75726477"
"321"	0	0	0	0	0	0	0	"BRD-A76019558"
"322"	0	0	0	0	0	0	0	"BRD-A76019558"
"323"	0	0	0	0	0	0	0	"BRD-A76019558"
"324"	0	0	0	0	0	0	0	"BRD-A77291778"
"325"	0	0	0	0	0	0	0	"BRD-A77291778"
"326"	0	0	0	0	0	0	0	"BRD-A77291778"
"327"	0	0	0	0	0	0	0	"BRD-A77291778"
"328"	0	0	0	0	0	0	0	"BRD-A78322124"
"329"	0	0	0	0	0	0	0	"BRD-A78322124"
"330"	0	0	0	0	0	0	0	"BRD-A78322124"
"331"	0	0	0	0	0	0	0	"BRD-A78322124"
"332"	0	0	0	0	0	0	0	"BRD-A79672927"
"333"	0	0	0	0	0	0	0	"BRD-A79672927"
"334"	0	0	0	0	0	0	0	"BRD-A79672927"
"335"	0	0	0	0	0	0	0	"BRD-A79672927"
"336"	0	0	1	0	0	0	0	"BRD-A79981887"
"337"	0	0	1	0	0	0	0	"BRD-A79981887"
"338"	0	0	0	0	0	0	0	"BRD-A80017228"
"339"	0	0	0	0	0	0	0	"BRD-A80017228"
"342"	0	1	0	0	1	0	0	"BRD-A84465106"
"343"	0	1	0	0	1	0	0	"BRD-A84465106"
"344"	0	0	0	0	0	0	0	"BRD-A86044036"
"345"	0	0	0	0	0	0	0	"BRD-A86044036"
"346"	0	0	0	0	0	0	0	"BRD-A86044036"
"347"	0	0	0	0	0	0	0	"BRD-A86044036"
"350"	0	1	1	0	1	0	0	"BRD-A88254928"
"351"	0	1	1	0	1	0	0	"BRD-A88254928"
"356"	0	1	1	1	1	0	0	"BRD-A91008255"
"357"	0	1	1	1	1	0	0	"BRD-A91008255"
"358"	0	0	0	0	0	0	0	"BRD-A91699651"
"359"	0	0	0	0	0	0	0	"BRD-A91699651"
"360"	0	0	0	0	0	0	0	"BRD-A91699651"
"361"	0	0	0	0	0	0	0	"BRD-A91699651"
"362"	0	0	0	0	0	0	0	"BRD-A91699651"
"363"	0	0	0	0	0	0	0	"BRD-A91699651"
"364"	0	0	0	0	0	0	0	"BRD-A91699651"
"365"	0	0	0	0	0	0	0	"BRD-A91699651"
"366"	0	0	0	0	0	0	0	"BRD-A91699651"
"367"	0	0	0	0	0	0	0	"BRD-A91699651"
"368"	0	0	0	0	0	0	0	"BRD-A91699651"
"369"	0	0	0	0	0	0	0	"BRD-A91699651"
"370"	0	0	0	0	0	0	0	"BRD-A91699651"
"371"	0	0	0	0	0	0	0	"BRD-A91699651"
"372"	0	0	0	0	0	0	0	"BRD-A91699651"
"373"	0	0	0	0	0	0	0	"BRD-A91699651"
"374"	0	0	0	0	0	0	0	"BRD-A91699651"
"375"	0	0	0	0	0	0	0	"BRD-A91699651"
"376"	0	0	0	0	0	0	0	"BRD-A91699651"
"377"	0	0	0	0	0	0	0	"BRD-A91699651"
"378"	0	0	0	0	0	0	0	"BRD-A91699651"
"379"	0	0	0	0	0	0	0	"BRD-A91699651"
"380"	0	0	0	0	0	0	0	"BRD-A91699651"
"381"	0	0	0	0	0	0	0	"BRD-A91699651"
"382"	0	0	0	0	0	0	0	"BRD-A91699651"
"383"	0	0	0	0	0	0	0	"BRD-A91699651"
"384"	0	0	0	0	0	0	0	"BRD-A91699651"
"385"	0	0	0	0	0	0	0	"BRD-A91699651"
"386"	0	0	0	0	0	0	0	"BRD-A91699651"
"387"	0	0	0	0	0	0	0	"BRD-A91699651"
"388"	0	0	0	0	0	0	0	"BRD-A91699651"
"389"	0	0	0	0	0	0	0	"BRD-A91699651"
"390"	0	0	0	0	0	0	0	"BRD-A91699651"
"391"	0	0	0	0	0	0	0	"BRD-A91699651"
"392"	0	0	0	0	0	0	0	"BRD-A91699651"
"393"	0	0	0	0	0	0	0	"BRD-A91699651"
"404"	0	0	0	0	0	0	0	"BRD-A97104540"
"405"	0	0	0	0	0	0	0	"BRD-A97104540"
"406"	0	0	0	0	0	0	0	"BRD-A97437073"
"407"	0	0	0	0	0	0	0	"BRD-A97437073"
"408"	0	0	0	0	0	0	0	"BRD-A97437073"
"409"	0	0	0	0	0	0	0	"BRD-A97437073"
"410"	0	0	0	0	0	0	0	"BRD-A97437073"
"411"	0	1	0	0	0	0	0	"BRD-A97674275"
"412"	0	1	0	0	0	0	0	"BRD-A97674275"
"413"	0	0	1	0	1	0	0	"BRD-A97739905"
"414"	0	0	1	0	1	0	0	"BRD-A97739905"
"415"	0	0	0	0	0	0	0	"BRD-A99633051"
"416"	0	0	0	0	0	0	0	"BRD-A99633051"
"417"	0	0	0	0	0	0	0	"BRD-K00603606"
"418"	0	0	0	0	0	0	0	"BRD-K00603606"
"419"	0	0	0	0	0	0	0	"BRD-K00603606"
"420"	0	0	0	0	0	0	0	"BRD-K00603606"
"421"	0	0	0	0	0	0	0	"BRD-K00673382"
"422"	0	0	0	0	0	0	0	"BRD-K00673382"
"423"	0	0	0	0	0	0	0	"BRD-K00824317"
"424"	0	0	0	0	0	0	0	"BRD-K00824317"
"425"	0	0	0	0	0	0	0	"BRD-K00824317"
"426"	0	0	0	0	0	0	0	"BRD-K00824317"
"434"	0	0	0	0	0	0	0	"BRD-K02113016"
"435"	0	0	0	0	0	0	0	"BRD-K02113016"
"436"	0	0	0	0	0	0	0	"BRD-K02113016"
"437"	0	0	0	0	0	0	0	"BRD-K02113016"
"438"	0	0	0	0	0	0	0	"BRD-K02113016"
"439"	0	0	0	0	0	0	0	"BRD-K02113016"
"440"	0	0	0	0	0	0	0	"BRD-K02113016"
"441"	0	0	0	0	0	0	0	"BRD-K02113016"
"442"	0	0	0	0	0	0	0	"BRD-K02113016"
"443"	0	0	0	0	0	0	0	"BRD-K02113016"
"444"	0	0	0	0	0	0	0	"BRD-K02113016"
"445"	0	0	0	0	0	0	0	"BRD-K02113016"
"446"	0	0	0	0	0	0	0	"BRD-K02130563"
"447"	0	0	0	0	0	0	0	"BRD-K02130563"
"448"	0	0	0	0	0	0	0	"BRD-K02130563"
"449"	0	0	0	0	0	0	0	"BRD-K02130563"
"450"	0	0	0	0	0	0	0	"BRD-K02130563"
"451"	0	0	0	0	0	0	0	"BRD-K02130563"
"452"	0	0	0	0	0	0	0	"BRD-K02130563"
"453"	0	0	0	0	0	0	0	"BRD-K02130563"
"454"	0	0	0	0	0	0	0	"BRD-K02130563"
"455"	0	0	0	0	0	0	0	"BRD-K02130563"
"456"	0	0	0	0	0	0	0	"BRD-K02130563"
"457"	0	0	0	0	0	0	0	"BRD-K02130563"
"458"	0	0	0	0	0	0	0	"BRD-K02130563"
"459"	0	0	0	0	0	0	0	"BRD-K02130563"
"460"	0	0	0	0	0	0	0	"BRD-K02130563"
"461"	0	0	0	0	0	0	0	"BRD-K02130563"
"462"	0	0	0	0	0	0	0	"BRD-K02130563"
"463"	0	0	0	0	0	0	0	"BRD-K02130563"
"464"	0	0	0	0	0	0	0	"BRD-K02130563"
"465"	0	0	0	0	0	0	0	"BRD-K02130563"
"466"	0	0	0	0	0	0	0	"BRD-K02130563"
"467"	0	0	0	0	0	0	0	"BRD-K02130563"
"468"	0	0	0	0	0	0	0	"BRD-K02130563"
"469"	0	0	0	0	0	0	0	"BRD-K02130563"
"470"	0	0	0	0	0	0	0	"BRD-K02130563"
"475"	1	1	0	1	0	0	0	"BRD-K02404261"
"476"	1	1	0	1	0	0	0	"BRD-K02404261"
"481"	0	0	0	0	0	0	0	"BRD-K02867583"
"482"	0	0	0	0	0	0	0	"BRD-K02867583"
"483"	0	0	0	0	0	0	0	"BRD-K02867583"
"484"	0	0	0	0	0	0	0	"BRD-K02867583"
"485"	0	0	0	0	0	0	0	"BRD-K04046242"
"486"	0	0	0	0	0	0	0	"BRD-K04046242"
"487"	0	0	0	0	0	0	0	"BRD-K04046242"
"488"	0	0	0	0	0	0	0	"BRD-K04046242"
"489"	0	0	0	0	0	0	0	"BRD-K04046242"
"490"	0	0	0	0	0	0	0	"BRD-K04046242"
"491"	0	0	0	0	0	0	0	"BRD-K04046242"
"492"	0	0	0	0	0	0	0	"BRD-K04046242"
"493"	0	0	0	0	0	0	0	"BRD-K04046242"
"494"	0	0	0	0	0	0	0	"BRD-K04046242"
"495"	0	0	0	0	0	0	0	"BRD-K04046242"
"496"	0	0	0	0	0	0	0	"BRD-K04046242"
"497"	0	0	0	0	0	0	0	"BRD-K04046242"
"498"	0	0	0	0	0	0	0	"BRD-K04046242"
"503"	1	1	1	0	1	0	0	"BRD-K04804440"
"504"	1	1	1	0	1	0	0	"BRD-K04804440"
"505"	0	1	0	0	0	0	0	"BRD-K05395900"
"506"	0	1	0	0	0	0	0	"BRD-K05395900"
"517"	0	0	0	0	0	0	0	"BRD-K08252256"
"518"	0	0	0	0	0	0	0	"BRD-K08252256"
"519"	0	0	0	0	0	0	0	"BRD-K08252256"
"520"	0	0	0	0	0	0	0	"BRD-K08252256"
"526"	0	0	0	0	0	0	0	"BRD-K08619574"
"527"	0	0	0	0	0	0	0	"BRD-K08619574"
"528"	0	1	1	1	1	0	0	"BRD-K08806317"
"529"	0	1	1	1	1	0	0	"BRD-K08806317"
"530"	0	1	1	1	1	0	0	"BRD-K08806317"
"531"	0	1	1	1	1	0	0	"BRD-K08806317"
"532"	0	1	0	0	0	0	0	"BRD-K09416995"
"533"	0	1	0	0	0	0	0	"BRD-K09416995"
"534"	1	1	1	0	0	0	0	"BRD-K09471561"
"535"	1	1	1	0	0	0	0	"BRD-K09471561"
"536"	1	1	1	0	0	0	0	"BRD-K09471561"
"537"	1	1	1	0	0	0	0	"BRD-K09471561"
"538"	0	0	0	0	0	0	0	"BRD-K09859624"
"539"	0	0	0	0	0	0	0	"BRD-K09859624"
"544"	0	0	0	0	0	0	0	"BRD-K10799896"
"545"	0	0	0	0	0	0	0	"BRD-K10799896"
"546"	0	0	0	0	0	0	0	"BRD-K10799896"
"547"	1	1	1	1	1	1	0	"BRD-K10852020"
"548"	1	1	1	1	1	1	0	"BRD-K10852020"
"549"	1	1	1	1	1	1	0	"BRD-K10852020"
"550"	0	1	1	0	1	0	0	"BRD-K11129031"
"551"	0	1	1	0	1	0	0	"BRD-K11129031"
"558"	0	1	0	0	0	0	0	"BRD-K12343256"
"559"	0	1	0	0	0	0	0	"BRD-K12343256"
"560"	0	1	0	0	0	0	0	"BRD-K12343256"
"561"	0	1	0	0	0	0	0	"BRD-K12343256"
"562"	0	1	0	0	0	0	0	"BRD-K12343256"
"563"	0	1	0	0	0	0	0	"BRD-K12343256"
"564"	0	1	0	0	0	0	0	"BRD-K12343256"
"565"	0	1	0	0	0	0	0	"BRD-K12343256"
"566"	0	1	0	0	0	0	0	"BRD-K12994359"
"567"	0	1	0	0	0	0	0	"BRD-K12994359"
"568"	0	1	0	0	0	0	0	"BRD-K12994359"
"569"	0	1	0	0	0	0	0	"BRD-K12994359"
"570"	0	1	0	0	0	0	0	"BRD-K12994359"
"571"	0	1	0	0	0	0	0	"BRD-K12994359"
"572"	0	1	0	0	0	0	0	"BRD-K12994359"
"573"	0	1	0	0	0	0	0	"BRD-K12994359"
"578"	0	0	0	0	0	0	0	"BRD-K13800121"
"579"	0	0	0	0	0	0	0	"BRD-K13800121"
"580"	0	0	0	0	0	0	0	"BRD-K13800121"
"581"	0	0	0	0	0	0	0	"BRD-K13800121"
"582"	0	1	0	0	0	0	0	"BRD-K13926615"
"583"	0	1	0	0	0	0	0	"BRD-K13926615"
"584"	0	1	0	0	0	0	0	"BRD-K13926615"
"585"	0	1	0	0	0	0	0	"BRD-K13926615"
"588"	0	0	0	0	0	0	0	"BRD-K14965640"
"589"	0	0	0	0	0	0	0	"BRD-K14965640"
"590"	0	0	0	0	0	0	0	"BRD-K14965640"
"591"	0	0	0	0	0	0	0	"BRD-K14965640"
"592"	0	0	0	0	0	0	0	"BRD-K15010214"
"593"	0	0	0	0	0	0	0	"BRD-K15010214"
"594"	0	0	0	0	0	0	0	"BRD-K15567136"
"595"	0	0	0	0	0	0	0	"BRD-K15567136"
"596"	0	0	0	0	0	0	0	"BRD-K15567136"
"597"	0	0	0	0	0	0	0	"BRD-K15567136"
"600"	1	1	1	1	1	0	1	"BRD-K15933101"
"601"	1	1	1	1	1	0	1	"BRD-K15933101"
"602"	0	0	0	0	0	0	0	"BRD-K16195444"
"603"	0	0	0	0	0	0	0	"BRD-K16195444"
"604"	0	0	0	0	0	0	0	"BRD-K16195444"
"605"	0	0	0	0	0	0	0	"BRD-K16195444"
"606"	0	0	0	0	0	0	0	"BRD-K16444452"
"607"	0	0	0	0	0	0	0	"BRD-K16444452"
"608"	0	0	0	0	0	0	0	"BRD-K16444452"
"609"	0	0	0	0	0	0	0	"BRD-K16444452"
"614"	0	0	0	0	0	0	0	"BRD-K17016787"
"615"	0	0	0	0	0	0	0	"BRD-K17016787"
"616"	0	0	0	0	0	0	0	"BRD-K17016787"
"617"	0	0	0	0	0	0	0	"BRD-K17016787"
"618"	0	0	0	0	0	0	0	"BRD-K17016787"
"619"	0	0	0	0	0	0	0	"BRD-K17016787"
"620"	0	0	0	0	0	0	0	"BRD-K17016787"
"621"	0	0	0	0	0	0	0	"BRD-K17016787"
"622"	0	0	0	0	0	0	0	"BRD-K17016787"
"632"	0	0	0	0	0	0	0	"BRD-K18855837"
"633"	0	0	0	0	0	0	0	"BRD-K18855837"
"634"	0	1	1	0	1	0	0	"BRD-K18910433"
"635"	0	1	1	0	1	0	0	"BRD-K18910433"
"636"	0	1	1	0	1	0	0	"BRD-K18910433"
"637"	0	1	1	0	1	0	0	"BRD-K18910433"
"638"	0	1	1	0	1	0	0	"BRD-K18910433"
"639"	0	1	1	0	1	0	0	"BRD-K18910433"
"640"	0	1	1	0	1	0	0	"BRD-K18910433"
"641"	0	1	1	0	1	0	0	"BRD-K18910433"
"642"	0	1	1	0	1	0	0	"BRD-K18910433"
"643"	0	1	1	0	1	0	0	"BRD-K18910433"
"644"	0	1	1	0	1	0	0	"BRD-K18910433"
"645"	0	1	1	0	1	0	0	"BRD-K18910433"
"646"	0	1	1	0	1	0	0	"BRD-K18910433"
"647"	0	1	1	0	1	0	0	"BRD-K18910433"
"648"	0	1	1	0	1	0	0	"BRD-K18910433"
"649"	0	1	1	0	1	0	0	"BRD-K18910433"
"650"	0	1	1	0	1	0	0	"BRD-K18910433"
